ID;MAC;Время первого обрнаружения;Время последнего обнаружения;max_siglvl_dtime;update_dtime;enter_ind;max_siglvl;net_type;name;wps_string;manuf;rx_data_pack;ndpi;bssid;essid;security_std;photo_id;all_photos_id;export;is_prioritet;imsi;probs_of;source_terminal;gsm_id;abonent_id;gsm_id;abonent_id
all_photos_id;photo_id
433;00:0c:e7:f9:93:11;2021-03-25 11:00:26;2021-03-25 11:00:26;2021-03-25 11:00:26;2021-03-25 11:05:05;1;-41;NA ;;;Mediatek;2;;ff:ff:ff:ff:ff:ff;;;["C:\\Users\\DG\\Downloas\\viber.png", "https://habrastorage.org/getpro/habr/post_images/f9e/379/f47/f9e379f4724ba48881f53b489ca5ed1d.png"];["https://habrastorage.org/getpro/habr/post_images/c84/655/e65/c8465.png", "https://habrastorage.org/getpro/habr/post_images/f9e/379/f47/f9e379f4724ba48881f53b489ca5ed1d.png"];1;да;;;D  ;;;;
284;2c:fd:a1:a9:b8:75;2021-03-25 9:26:56;2021-03-25 10:03:43;2021-03-25 9:43:38;2021-03-25 10:07:14;1;-40;AP ;;;AsustekC;2061;;2c:fd:a1:a9:b8:75;  ;WPA2 CCMP PSK  ;;["https://habrastorage.org/getpro/habr/post_images/c84/655/e65/c84655e655fc6d400a4ffd2d932aaa61.png", "https://habrastorage.org/getpro/habr/post_images/f9e/379/f47/f9e379f4724ba48881f53b489ca5ed1d.png"];1;да;;;D  ;;;;
287;e0:d4:e8:59:90:a2;2021-03-25 9:27:47;2021-03-25 9:48:46;2021-03-25 9:44:46;2021-03-25 9:52:35;1;-36;NA ;;;Unknown ;25  ;;ff:ff:ff:ff:ff:ff;;;["https://habrastorage.org/getpro/habr/post_images/c84/655/e65/c8465.png", "https://habrastorage.org/getpro/habr/post_images/f9e/379/f47/f9e379f4724ba48881f53b489ca5ed1d.png"];;1;да;;;D  ;;;;
283;00:21:91:81:22:08;2021-03-25 9:26:56;2021-03-25 9:47:54;2021-03-25 9:26:56;2021-03-25 9:51:45;1;-40;STA;;;D-Link  ;19  ;;2c:fd:a1:a9:b8:75;  ;WPA2 CCMP PSK  ;;["https://habrastorage.org/getpro/habr/post_images/c84/655/e65/c84655e655fc6d400a4ffd2d932aaa61.png", "https://www.zakonrf.info/media/uploads/dogovory/trudovoy-dogovor.doc", "https://www.zakonrf.info/media/uploads/dogovory/trudovoy-dogovor.doc"];1;да;;;D  ;;;;
1546;00:01:c9:18:48:02;2021-04-02 0:52:56;2021-04-02 0:52:56;;;;;;;;;;;;;;;;1;;;;;;;;
387;da:a1:19:7c:35:8e;2021-03-25 10:37:45;2021-03-25 10:37:45;2021-03-25 10:37:45;2021-03-25 10:42:23;1;-41;NA ;;;Google  ;2;;ff:ff:ff:ff:ff:ff;;;;;1;да;;;D  ;;;;
3;da:a1:19:4e:e8:59;2021-03-25 10:25:29;2021-03-25 10:25:29;2021-03-25 10:25:29;2021-03-25 10:30:09;1;-42;NA ;;;Google  ;3;;ff:ff:ff:ff:ff:ff;;;;;1;да;;YICarCam_c4078b;D  ;;;;
285;da:a1:19:d1:34:c4;2021-03-25 9:27:16;2021-03-25 9:27:17;2021-03-25 9:27:16;2021-03-25 9:31:53;1;-33;NA ;;;Google  ;29  ;;ff:ff:ff:ff:ff:ff;;;;;1;да;;stadion007, FoxysAP;D  ;;;;
434;00:0c:e7:8e:a0:3e;2021-03-25 11:01:28;2021-03-25 11:01:28;2021-03-25 11:01:28;2021-03-25 11:06:05;1;-45;NA ;;;Mediatek;1;;ff:ff:ff:ff:ff:ff;;;;;1;да;;;D  ;;;;
388;da:a1:19:9d:a1:8e;2021-03-25 10:37:56;2021-03-25 10:37:57;2021-03-25 10:37:56;2021-03-25 10:42:35;1;-45;NA ;;;Google  ;6;;ff:ff:ff:ff:ff:ff;;;;;1;да;;stadion007, FoxysAP;D  ;;;;
435;00:0c:e7:5c:0e:df;2021-03-25 11:02:18;2021-03-25 11:02:18;2021-03-25 11:02:18;2021-03-25 11:06:56;1;-44;NA ;;;Mediatek;2;;ff:ff:ff:ff:ff:ff;;;;;1;да;;;D  ;;;;
